v1	Ib(Q1)	Ic(Q1)
Step Information: I1=100µ  (Run: 1/10)
7.000000000000001e-02	3.000000e-04	8.288315e-03
8.000000000000000e-02	3.000000e-04	1.112464e-02
9.000000000000000e-02	3.000000e-04	1.440195e-02
9.999999999999999e-02	3.000000e-04	1.804136e-02
1.100000000000000e-01	3.000000e-04	2.192850e-02
1.200000000000000e-01	3.000000e-04	2.592525e-02
1.300000000000000e-01	3.000000e-04	2.988313e-02
1.400000000000000e-01	3.000000e-04	3.365726e-02
1.500000000000000e-01	3.000000e-04	3.712012e-02
1.600000000000000e-01	3.000000e-04	4.017453e-02
1.700000000000000e-01	3.000000e-04	4.276349e-02
1.800000000000000e-01	3.000000e-04	4.487401e-02
1.900000000000000e-01	3.000000e-04	4.653273e-02
2.000000000000000e-01	3.000000e-04	4.779466e-02
2.100000000000000e-01	3.000000e-04	4.872880e-02
2.200000000000001e-01	3.000000e-04	4.940539e-02
2.300000000000001e-01	3.000000e-04	4.988747e-02
2.400000000000001e-01	3.000000e-04	5.022702e-02
2.500000000000001e-01	3.000000e-04	5.046443e-02
2.600000000000001e-01	3.000000e-04	5.062981e-02
2.700000000000001e-01	3.000000e-04	5.074497e-02
2.800000000000001e-01	3.000000e-04	5.082540e-02
2.900000000000001e-01	3.000000e-04	5.088194e-02
3.000000000000001e-01	3.000000e-04	5.092213e-02
3.100000000000001e-01	3.000000e-04	5.095113e-02
3.200000000000001e-01	3.000000e-04	5.097250e-02
3.300000000000001e-01	3.000000e-04	5.098867e-02
3.400000000000001e-01	3.000000e-04	5.100131e-02
3.500000000000001e-01	3.000000e-04	5.101154e-02
3.600000000000002e-01	3.000000e-04	5.102014e-02
3.700000000000002e-01	3.000000e-04	5.102763e-02
3.800000000000002e-01	3.000000e-04	5.103435e-02
3.900000000000002e-01	3.000000e-04	5.104056e-02
4.000000000000002e-01	3.000000e-04	5.104643e-02
4.100000000000002e-01	3.000000e-04	5.105206e-02
4.200000000000002e-01	3.000000e-04	5.105752e-02
4.300000000000002e-01	3.000000e-04	5.106287e-02
4.400000000000002e-01	3.000000e-04	5.106816e-02
4.500000000000002e-01	3.000000e-04	5.107339e-02
4.600000000000002e-01	3.000000e-04	5.107858e-02
4.700000000000003e-01	3.000000e-04	5.108376e-02
4.800000000000003e-01	3.000000e-04	5.108891e-02
4.900000000000003e-01	3.000000e-04	5.109406e-02
5.000000000000002e-01	3.000000e-04	5.109920e-02
5.100000000000002e-01	3.000000e-04	5.110433e-02
5.200000000000002e-01	3.000000e-04	5.110946e-02
5.300000000000002e-01	3.000000e-04	5.111459e-02
5.400000000000003e-01	3.000000e-04	5.111972e-02
5.500000000000003e-01	3.000000e-04	5.112484e-02
5.600000000000003e-01	3.000000e-04	5.112997e-02
5.700000000000003e-01	3.000000e-04	5.113509e-02
5.800000000000003e-01	3.000000e-04	5.114022e-02
5.900000000000003e-01	3.000000e-04	5.114534e-02
6.000000000000003e-01	3.000000e-04	5.115046e-02
6.100000000000003e-01	3.000000e-04	5.115559e-02
6.200000000000003e-01	3.000000e-04	5.116071e-02
6.300000000000003e-01	3.000000e-04	5.116583e-02
6.400000000000003e-01	3.000000e-04	5.117096e-02
6.500000000000004e-01	3.000000e-04	5.117608e-02
6.600000000000004e-01	3.000000e-04	5.118120e-02
6.700000000000004e-01	3.000000e-04	5.118633e-02
6.800000000000004e-01	3.000000e-04	5.119145e-02
6.900000000000004e-01	3.000000e-04	5.119658e-02
7.000000000000004e-01	3.000000e-04	5.120170e-02
7.100000000000004e-01	3.000000e-04	5.120682e-02
7.200000000000004e-01	3.000000e-04	5.121195e-02
7.300000000000004e-01	3.000000e-04	5.121707e-02
7.400000000000004e-01	3.000000e-04	5.122219e-02
7.500000000000004e-01	3.000000e-04	5.122731e-02
7.600000000000005e-01	3.000000e-04	5.123244e-02
7.700000000000005e-01	3.000000e-04	5.123756e-02
7.800000000000005e-01	3.000000e-04	5.124268e-02
7.900000000000005e-01	3.000000e-04	5.124781e-02
8.000000000000005e-01	3.000000e-04	5.125293e-02
8.100000000000005e-01	3.000000e-04	5.125805e-02
8.200000000000005e-01	3.000000e-04	5.126318e-02
8.300000000000005e-01	3.000000e-04	5.126830e-02
8.400000000000005e-01	3.000000e-04	5.127342e-02
8.500000000000005e-01	3.000000e-04	5.127855e-02
8.600000000000005e-01	3.000000e-04	5.128367e-02
8.700000000000006e-01	3.000000e-04	5.128879e-02
8.800000000000006e-01	3.000000e-04	5.129392e-02
8.900000000000006e-01	3.000000e-04	5.129904e-02
9.000000000000006e-01	3.000000e-04	5.130417e-02
9.100000000000006e-01	3.000000e-04	5.130929e-02
9.200000000000006e-01	3.000000e-04	5.131441e-02
9.300000000000006e-01	3.000000e-04	5.131953e-02
9.400000000000006e-01	3.000000e-04	5.132466e-02
9.500000000000006e-01	3.000000e-04	5.132978e-02
9.600000000000006e-01	3.000000e-04	5.133490e-02
9.700000000000006e-01	3.000000e-04	5.134003e-02
9.800000000000006e-01	3.000000e-04	5.134515e-02
9.900000000000007e-01	3.000000e-04	5.135027e-02
1.000000000000001e+00	3.000000e-04	5.135540e-02
1.010000000000001e+00	3.000000e-04	5.136052e-02
1.020000000000001e+00	3.000000e-04	5.136564e-02
1.030000000000001e+00	3.000000e-04	5.137077e-02
1.040000000000001e+00	3.000000e-04	5.137589e-02
1.050000000000001e+00	3.000000e-04	5.138101e-02
1.060000000000001e+00	3.000000e-04	5.138614e-02
1.070000000000001e+00	3.000000e-04	5.139126e-02
1.080000000000001e+00	3.000000e-04	5.139638e-02
1.090000000000001e+00	3.000000e-04	5.140151e-02
1.100000000000001e+00	3.000000e-04	5.140663e-02
1.110000000000001e+00	3.000000e-04	5.141175e-02
1.120000000000001e+00	3.000000e-04	5.141688e-02
1.130000000000001e+00	3.000000e-04	5.142200e-02
1.140000000000001e+00	3.000000e-04	5.142712e-02
1.150000000000001e+00	3.000000e-04	5.143225e-02
1.160000000000001e+00	3.000000e-04	5.143737e-02
1.170000000000001e+00	3.000000e-04	5.144249e-02
1.180000000000001e+00	3.000000e-04	5.144762e-02
1.190000000000001e+00	3.000000e-04	5.145274e-02
1.200000000000001e+00	3.000000e-04	5.145786e-02
1.210000000000001e+00	3.000000e-04	5.146299e-02
1.220000000000001e+00	3.000000e-04	5.146811e-02
1.230000000000001e+00	3.000000e-04	5.147323e-02
1.240000000000001e+00	3.000000e-04	5.147836e-02
1.250000000000001e+00	3.000000e-04	5.148348e-02
1.260000000000001e+00	3.000000e-04	5.148860e-02
1.270000000000001e+00	3.000000e-04	5.149373e-02
1.280000000000001e+00	3.000000e-04	5.149885e-02
1.290000000000001e+00	3.000000e-04	5.150397e-02
1.300000000000001e+00	3.000000e-04	5.150910e-02
1.310000000000001e+00	3.000000e-04	5.151422e-02
1.320000000000001e+00	3.000000e-04	5.151934e-02
1.330000000000001e+00	3.000000e-04	5.152446e-02
1.340000000000001e+00	3.000000e-04	5.152959e-02
1.350000000000001e+00	3.000000e-04	5.153471e-02
1.360000000000001e+00	3.000000e-04	5.153983e-02
1.370000000000001e+00	3.000000e-04	5.154496e-02
1.380000000000001e+00	3.000000e-04	5.155008e-02
1.390000000000001e+00	3.000000e-04	5.155521e-02
1.400000000000001e+00	3.000000e-04	5.156033e-02
1.410000000000001e+00	3.000000e-04	5.156545e-02
1.420000000000001e+00	3.000000e-04	5.157058e-02
1.430000000000001e+00	3.000000e-04	5.157570e-02
1.440000000000001e+00	3.000000e-04	5.158082e-02
1.450000000000001e+00	3.000000e-04	5.158595e-02
1.460000000000001e+00	3.000000e-04	5.159107e-02
1.470000000000001e+00	3.000000e-04	5.159619e-02
1.480000000000001e+00	3.000000e-04	5.160132e-02
1.490000000000001e+00	3.000000e-04	5.160644e-02
1.500000000000000e+00	3.000000e-04	5.161156e-02
Step Information: I1=400µ  (Run: 4/10)
0.000000000000000e+00	4.000000e-04	-3.888757e-04
1.000000000000000e-02	4.000000e-04	1.459875e-04
2.000000000000000e-02	4.000000e-04	8.991066e-04
3.000000000000000e-02	4.000000e-04	1.941429e-03
4.000000000000000e-02	4.000000e-04	3.352421e-03
5.000000000000000e-02	4.000000e-04	5.211188e-03
6.000000000000000e-02	4.000000e-04	7.583164e-03
7.000000000000001e-02	4.000000e-04	1.050536e-02
8.000000000000000e-02	4.000000e-04	1.397489e-02
9.000000000000000e-02	4.000000e-04	1.794463e-02
9.999999999999999e-02	4.000000e-04	2.232673e-02
1.100000000000000e-01	4.000000e-04	2.700140e-02
1.200000000000000e-01	4.000000e-04	3.182784e-02
1.300000000000000e-01	4.000000e-04	3.665493e-02
1.400000000000000e-01	4.000000e-04	4.133135e-02
1.500000000000000e-01	4.000000e-04	4.571582e-02
1.600000000000000e-01	4.000000e-04	4.968800e-02
1.700000000000000e-01	4.000000e-04	5.315959e-02
1.800000000000000e-01	4.000000e-04	5.608339e-02
1.900000000000000e-01	4.000000e-04	5.845674e-02
2.000000000000000e-01	4.000000e-04	6.031706e-02
2.100000000000000e-01	4.000000e-04	6.173017e-02
2.200000000000001e-01	4.000000e-04	6.277537e-02
2.300000000000001e-01	4.000000e-04	6.353220e-02
2.400000000000001e-01	4.000000e-04	6.407153e-02
2.500000000000001e-01	4.000000e-04	6.445158e-02
2.600000000000001e-01	4.000000e-04	6.471753e-02
2.700000000000001e-01	4.000000e-04	6.490304e-02
2.800000000000001e-01	4.000000e-04	6.503247e-02
2.900000000000001e-01	4.000000e-04	6.512313e-02
3.000000000000001e-01	4.000000e-04	6.518710e-02
3.100000000000001e-01	4.000000e-04	6.523282e-02
3.200000000000001e-01	4.000000e-04	6.526604e-02
3.300000000000001e-01	4.000000e-04	6.529075e-02
3.400000000000001e-01	4.000000e-04	6.530965e-02
3.500000000000001e-01	4.000000e-04	6.532460e-02
3.600000000000002e-01	4.000000e-04	6.533688e-02
3.700000000000002e-01	4.000000e-04	6.534731e-02
3.800000000000002e-01	4.000000e-04	6.535652e-02
3.900000000000002e-01	4.000000e-04	6.536487e-02
4.000000000000002e-01	4.000000e-04	6.537265e-02
4.100000000000002e-01	4.000000e-04	6.538004e-02
4.200000000000002e-01	4.000000e-04	6.538716e-02
4.300000000000002e-01	4.000000e-04	6.539410e-02
4.400000000000002e-01	4.000000e-04	6.540092e-02
4.500000000000002e-01	4.000000e-04	6.540766e-02
4.600000000000002e-01	4.000000e-04	6.541434e-02
4.700000000000003e-01	4.000000e-04	6.542099e-02
4.800000000000003e-01	4.000000e-04	6.542760e-02
4.900000000000003e-01	4.000000e-04	6.543420e-02
5.000000000000002e-01	4.000000e-04	6.544079e-02
5.100000000000002e-01	4.000000e-04	6.544737e-02
5.200000000000002e-01	4.000000e-04	6.545394e-02
